id,name,bodyPart,target,muscle_group,equipment,instructions,tutorial_url,icon,description,difficulty level,difficulty reason
2333,arm slingers hanging straight legs,waist,abs,"shoulders, back",body weight,"Hang from a pull-up bar with your arms fully extended and your legs straight down.
Engage your core and lift your legs up in front of you until they are parallel to the ground.
Hold for a moment at the top, then slowly lower your legs back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/yzS2EjySGDLmhh,None,"This exercise targets your abdominal muscles, shoulders, and back. It involves hanging from a pull-up bar and lifting your straight legs until they are parallel to the ground, effectively engaging your core and improving upper body stability.",Advanced,"It is an advanced bodyweight exercise requiring significant core strength, grip, and body control to perform the complex movement of lifting straight legs while hanging."
3214,arms apart circular toe touch (male),upper legs,glutes,"hamstrings, quadriceps, calves",body weight,"Stand with your feet shoulder-width apart and arms extended to the sides.
Keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand.
As you reach down, simultaneously lift your left leg straight up behind you, maintaining balance.
Return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you.
Continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/sGs-MoFgyniLX4,None,"This exercise targets the glutes, hamstrings, quadriceps, and calves. It involves bending at the waist to touch the toes while simultaneously lifting one leg behind, improving flexibility, balance, and core stability.",Intermediate,"It is a bodyweight exercise that involves compound movements and requires balance and coordination, making it suitable for intermediate fitness levels."
3204,arms overhead full sit-up (male),waist,abs,"hip flexors, lower back",body weight,"Lie flat on your back with your knees bent and feet flat on the ground.
Extend your arms overhead, keeping them straight.
Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is upright.
Pause for a moment at the top, then slowly lower your upper body back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/WzINsIEOqFbBXG,None,"The arms overhead full sit-up is a bodyweight exercise that effectively targets the abs, hip flexors, and lower back. This movement helps to strengthen the entire core and improve trunk flexibility.",Beginner,"This exercise is considered beginner due to its reliance on bodyweight and its simple, low-coordination movement pattern."
9,assisted chest dip (kneeling),chest,pectorals,"triceps, shoulders",leverage machine,"Adjust the machine to your desired height and secure your knees on the pad.
Grasp the handles with your palms facing down and your arms fully extended.
Lower your body by bending your elbows until your upper arms are parallel to the floor.
Pause for a moment, then push yourself back up to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/AbxK1fjW5YdIBj,None,"This exercise targets the pectorals, triceps, and shoulders, helping to build upper body strength and muscle definition. The assisted nature allows individuals to perform a dip-like movement with reduced bodyweight, making it an excellent progression towards unassisted dips.",Intermediate,"It utilizes a specialized leverage machine to assist in a compound movement, making it accessible for individuals working towards unassisted dips."
11,assisted hanging knee raise,waist,abs,hip flexors,assisted,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you.
Engage your core muscles and lift your knees towards your chest, bending at the hips and knees.
Pause for a moment at the top of the movement, squeezing your abs.
Slowly lower your legs back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/dgsJoe9nZI6G3Z,None,"The assisted hanging knee raise targets the abs and hip flexors, strengthening the core and improving hip flexor strength. This exercise involves hanging from a pull-up bar and lifting your knees towards your chest, engaging your core throughout the movement.",Intermediate,"This exercise utilizes assisted equipment, making it more challenging than bodyweight exercises but not requiring specialized skills or complex movements."
10,assisted hanging knee raise with throw down,waist,abs,"hip flexors, lower back",assisted,"Hang from a pull-up bar with your arms fully extended and your palms facing away from you.
Engage your core and lift your knees towards your chest, keeping your legs together.
Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully.
Allow your legs to swing back up and repeat the movement for the desired number of repetitions.",https://v2.exercisedb.io/image/apDkfV7kzgRGlV,None,"This exercise targets your abs, hip flexors, and lower back, improving core strength and hip mobility. It involves hanging from a bar, raising your knees towards your chest, and then powerfully extending your legs downwards.",Intermediate,"It requires coordination and core strength, utilizing basic assisted equipment for a compound movement."
1708,assisted lying calves stretch,lower legs,calves,hamstrings,assisted,"Lie on your back with your legs extended.
Bend one knee and place your foot flat on the ground.
Using your hands or a towel, gently pull your toes towards your body, feeling a stretch in your calf.
Hold the stretch for 20-30 seconds.
Release the stretch and repeat on the other leg.",https://v2.exercisedb.io/image/FHWElls92kFz7u,None,"This stretch targets the calf muscles, improving their flexibility and range of motion. By gently pulling the toes towards the body while lying down, it effectively elongates the calf muscles, aiding in muscle recovery and injury prevention.",Beginner,"This is a beginner exercise as it uses bodyweight or minimal assistance, is simple to perform, and requires low coordination."
1709,assisted lying glutes stretch,upper legs,glutes,hamstrings,assisted,"Lie on your back with your legs extended.
Bend your right knee and place your right ankle on your left thigh, just above the knee.
Grasp your left thigh with both hands and gently pull it towards your chest.
Hold the stretch for 20-30 seconds.
Release and repeat on the other side.",https://v2.exercisedb.io/image/pIPCvG-7PYwJyb,None,"The assisted lying glutes stretch targets the glutes and surrounding muscles, promoting flexibility in the hips and lower back. This stretch involves lying on your back, bending one knee, placing the ankle on the opposite thigh, and gently pulling the thigh towards your chest, aiding in muscle relaxation and range of motion.",Beginner,This is a bodyweight stretch that is simple to perform and requires low coordination.
1710,assisted lying gluteus and piriformis stretch,upper legs,glutes,hamstrings,assisted,"Lie on your back with your legs extended.
Bend your right knee and place your right ankle on your left thigh, just above the knee.
Grasp your left thigh with both hands and gently pull it towards your chest.
Hold the stretch for 20-30 seconds.
Release the stretch and repeat on the other side.",https://v2.exercisedb.io/image/re-rcIyamJTP9k,None,"This stretch targets the gluteus and piriformis muscles, which are located deep in the buttock. It helps to improve flexibility in the hips, reduce lower back pain, and can alleviate tightness in the glutes and piriformis.",Beginner,This is a bodyweight exercise that is simple to perform and requires low coordination.
12,assisted lying leg raise with lateral throw down,waist,abs,"hip flexors, obliques",assisted,"Lie flat on your back with your legs extended and your arms by your sides.
Place your hands under your glutes for support.
Engage your abs and lift your legs off the ground, keeping them straight.
While keeping your legs together, lower them to one side until they are a few inches above the ground.
Pause for a moment, then lift your legs back to the starting position.
Repeat the movement to the other side.
Continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/tcoPW9l8mI0o23,None,"This assisted lying leg raise with lateral throw down targets the hip flexors and obliques, engaging the core throughout the movement. It improves abdominal strength, improves side‑to‑side stability, and enhances lower‑body coordination for better functional movement.",Intermediate,"It requires assisted equipment and coordination to perform the leg lift and lateral rotation, making it more complex than basic bodyweight exercises but still approachable for intermediate lifters."
13,assisted lying leg raise with throw down,waist,abs,"hip flexors, quadriceps",assisted,"Lie flat on your back with your legs extended and your arms by your sides.
Place your hands under your glutes for support.
Engage your core and lift your legs off the ground, keeping them straight.
Raise your legs until they are perpendicular to the ground.
Lower your legs back down to the starting position.
Simultaneously, throw your legs down towards the ground, keeping them straight.
Raise your legs back up to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/bB-NQ-AJzljNQK,None,"This exercise targets the core, hip flexors, and quadriceps by raising the legs while lying flat, with a dynamic throw-down to engage the abdominal muscles through a controlled range of motion.",Beginner,"It is a bodyweight movement with minimal equipment and straightforward coordination, making it suitable for beginners."
14,assisted motion russian twist,waist,abs,"obliques, lower back",medicine ball,"Sit on the ground with your knees bent and feet flat on the floor.
Hold the medicine ball with both hands in front of your chest.
Lean back slightly, engaging your abs and keeping your back straight.
Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body.
Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body.
Continue alternating sides for the desired number of repetitions.",https://v2.exercisedb.io/image/QnFyADdqWwnFB5,None,"The assisted motion Russian twist targets the obliques and lower back, strengthening the core and improving rotational stability. It also enhances balance and posture while engaging the abdominal muscles.",Beginner,"It is a simple, low coordination exercise that uses only a medicine ball."
15,assisted parallel close grip pull-up,back,lats,"biceps, forearms",leverage machine,"Adjust the machine to your desired weight and height.
Place your hands on the parallel bars with a close grip, palms facing each other.
Hang from the bars with your arms fully extended and your feet off the ground.
Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body.
Continue pulling until your chin is above the bars.
Pause for a moment at the top, then slowly lower your body back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/dV2Lj3p2pfkt4c,None,"The assisted parallel close‑grip pull‑up targets the lats, while also engaging the biceps and forearms, helping to build a strong, V‑shaped back and improve overall pulling power. It improves scapular stability and strengthens the upper back, shoulders, and core for better posture and functional strength.",Intermediate,It uses a leverage machine for assisted resistance and involves a compound pulling movement that requires moderate coordination and strength.
16,assisted prone hamstring,upper legs,hamstrings,"glutes, lower back",assisted,"Lie face down on a mat or bench with your legs fully extended.
Have a partner or use a resistance band to secure your ankles.
Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight.
Pause for a moment at the top, then slowly lower your legs back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/ytpSbFtNhvVICC,None,"The assisted prone hamstring curl targets the hamstrings, while also engaging glutes and lower back for stability. It improves hamstring strength, flexibility, and posterior chain balance, aiding in injury prevention and athletic performance.",Beginner,"It is a simple bodyweight movement with assistance, requiring minimal coordination and equipment."
1713,assisted prone lying quads stretch,upper legs,quads,"hamstrings, glutes",assisted,"Lie face down on the ground with your legs extended.
Bend your left knee and reach back with your left hand to grab your left foot or ankle.
Gently pull your left foot towards your glutes, feeling a stretch in your left quad.
Hold the stretch for 20-30 seconds, then release.
Repeat with your right leg.",https://v2.exercisedb.io/image/s55xDjQ5-0dYhP,None,"This assisted prone lying quad stretch targets the quadriceps while also engaging the hamstrings and glutes for a balanced lower‑leg stretch. It improves hip flexor flexibility, supports knee joint health, and helps relieve tightness in the front thighs.",Beginner,It is a simple bodyweight stretch with minimal coordination and no specialized equipment.
1714,assisted prone rectus femoris stretch,waist,abs,quadriceps,assisted,"Lie face down on the ground with your legs straight.
Bend your right knee and reach back with your right hand to grab your right foot or ankle.
Gently pull your right foot or ankle towards your glutes, feeling a stretch in the front of your right thigh.
Hold the stretch for 20-30 seconds.
Release and repeat on the other side.",https://v2.exercisedb.io/image/KVV3sh0QGYv-NJ,None,"This assisted prone rectus femoris stretch targets the quadriceps, especially the rectus femoris, and helps improve hip flexor flexibility while engaging the core for stability. It can reduce tightness in the front of the thigh and support better lower‑body mobility. Regular stretching can aid in preventing lower‑back strain and enhance overall athletic performance.",Beginner,"It uses only bodyweight and simple coordination, making it suitable for beginners."
17,assisted pull-up,back,lats,"biceps, forearms",leverage machine,"Adjust the machine to your desired weight and height settings.
Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.
Hang with your arms fully extended and your feet off the ground.
Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body.
Continue pulling until your chin is above the handles.
Pause for a moment at the top, then slowly lower your body back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/rFSbsEA3x-wTKy,None,"Assisted pull‑ups target the latissimus dorsi, engaging the biceps and forearms to build upper‑back strength and improve pulling mechanics. This exercise also enhances grip endurance and stabilizes the shoulder girdle for better overall posture.",Beginner,"It is a simple, assisted movement that requires minimal coordination and can be performed safely with a leverage machine."
1716,assisted seated pectoralis major stretch with stability ball,chest,pectorals,"shoulders, triceps",assisted,"Sit on a stability ball with your feet flat on the ground and your back straight.
Hold a stability ball with both hands and extend your arms straight out in front of you.
Slowly lower the stability ball towards your chest, feeling a stretch in your pectoral muscles.
Hold the stretch for a few seconds, then slowly return to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/V4PlYYE0rlK7tY,None,"The assisted seated pectoralis major stretch targets the pectoralis major while also engaging the shoulders and triceps. It enhances chest flexibility, promotes better posture, and can alleviate tightness in the upper body.",Beginner,Bodyweight assisted stretch with low coordination demands.
1712,assisted side lying adductor stretch,upper legs,adductors,"hamstrings, glutes",assisted,"Lie on your side with your legs straight and stacked on top of each other.
Bend your bottom leg slightly for stability.
Place your top foot on a stable surface, such as a bench or step.
Keeping your top leg straight, slowly lower it towards the ground, feeling a stretch in your inner thigh.
Hold the stretch for 20-30 seconds.
Return to the starting position and repeat on the other side.",https://v2.exercisedb.io/image/OZz8IVRYN5EMiU,None,"This assisted side lying adductor stretch targets the adductors, helping to improve inner thigh flexibility and support hamstring and glute health. It gently elongates the inner thigh muscles, reducing tightness and enhancing hip mobility. Regular practice can aid in injury prevention and improve performance in sports that involve lateral movements.",Beginner,"It requires only bodyweight and minimal equipment, making it suitable for beginners."
1758,assisted sit-up,waist,abs,hip flexors,assisted,"Sit on the edge of a bench or have someone hold your feet down.
Lie flat on your back with your knees bent and feet flat on the ground.
Place your hands behind your head with your elbows pointing outwards.
Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle.
Pause for a moment at the top, then slowly lower your upper body back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/XlUw13FKk3bpyO,None,"Assisted sit-ups engage the rectus abdominis and hip flexors, improving core stability and torso flexibility. The controlled lift helps strengthen the abdominal wall while reducing strain on the lower back.",Beginner,"It uses bodyweight with assistance, making it a simple, low-coordination movement suitable for beginners."
1431,assisted standing chin-up,back,lats,"biceps, forearms",leverage machine,"Adjust the machine to your desired assistance level.
Stand on the foot platform and grip the handles with an overhand grip, slightly wider than shoulder-width apart.
Keep your chest up and shoulders back, engage your core, and slightly bend your knees.
Pull your body up by flexing your elbows and driving your elbows down towards your sides.
Continue pulling until your chin is above the bar.
Pause for a moment at the top, then slowly lower your body back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/iD6I6vHUV4flxZ,None,"Assisted standing chin‑ups target the lats, biceps, and forearms, helping build upper‑back strength and improve pulling power while also encouraging good posture and core stability. The assistive leverage machine keeps the movement controlled and safe for beginners, allowing progressive overload as strength improves.",Beginner,"It relies on bodyweight with adjustable assistance, requiring minimal coordination and making it accessible to novices."
1432,assisted standing pull-up,back,lats,"biceps, forearms",leverage machine,"Adjust the machine to your desired weight and height settings.
Stand facing the machine with your feet shoulder-width apart.
Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.
Engage your lats and biceps, and pull yourself up towards the handles.
Pause for a moment at the top, squeezing your back muscles.
Slowly lower yourself back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/FBiUSf5E1HdC7s,None,"The assisted standing pull‑up targets the lats, engaging the back and pulling the biceps and forearms into action. It strengthens the upper body, improves posture, and builds the foundation for full pull‑ups and other pulling exercises.",Intermediate,"It’s a compound movement performed with a leverage machine that allows progressive overload, making it suitable for those moving beyond basic bodyweight work."
18,assisted standing triceps extension (with towel),upper arms,triceps,shoulders,assisted,"Stand with your feet shoulder-width apart and hold a towel with both hands behind your head.
Keep your elbows close to your ears and your upper arms stationary.
Slowly extend your forearms upward, squeezing your triceps at the top.
Pause for a moment, then slowly lower the towel back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/qnqFpisTx9R-gB,None,"This towel-assisted standing triceps extension targets the triceps brachii, helping to build arm strength and improve joint stability while also engaging the shoulders for stabilization. It can enhance upper‑arm definition and support daily pushing movements.",Beginner,"The exercise uses only a towel and bodyweight, requiring minimal coordination and equipment, making it suitable for beginners."
19,assisted triceps dip (kneeling),upper arms,triceps,"chest, shoulders",leverage machine,"Adjust the machine to your desired weight and height.
Kneel down on the pad facing the machine, with your hands gripping the handles.
Lower your body by bending your elbows, keeping your back straight and close to the machine.
Pause for a moment at the bottom, then push yourself back up to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/Wr9I3UD5-miI3Y,None,"The assisted triceps dip focuses on the triceps while also engaging the chest and shoulders. Using a leverage machine, you lower and push up from a kneeling position, allowing you to control resistance and maintain proper form. This exercise builds upper‑arm strength and improves shoulder stability.",Beginner,"The exercise uses a leverage machine for assisted bodyweight movement, requiring minimal coordination and equipment, making it suitable for beginners."
2364,assisted wide-grip chest dip (kneeling),chest,pectorals,"triceps, shoulders",leverage machine,"Adjust the machine to your desired height and secure your knees on the pad.
Grasp the handles with a wide grip and keep your elbows slightly bent.
Lower your body by bending your elbows until your upper arms are parallel to the floor.
Push yourself back up to the starting position by extending your arms.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/9RWiaQoGBGogXv,None,"This assisted wide‑grip chest dip targets the pectorals while also engaging the triceps and front deltoids. It helps build upper chest strength and improve shoulder stability, with the leverage machine reducing load for safer progression.",Beginner,"The exercise uses a leverage machine to assist bodyweight, making it simple and low‑coordination for beginners."
3220,astride jumps (male),cardio,cardiovascular system,"quadriceps, hamstrings, calves",body weight,"Stand with your feet shoulder-width apart.
Bend your knees and lower your body into a squat position.
Jump explosively upwards, extending your legs and arms.
While in the air, spread your legs apart and bring your arms out to the sides.
Land softly with your feet shoulder-width apart, bending your knees to absorb the impact.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/GzvxMK5EkJ6H43,None,"Astride jumps target the quadriceps, hamstrings, and calves while simultaneously boosting cardiovascular endurance. The explosive movement enhances lower‑body power, improves coordination, and elevates heart rate for a full‑body cardio workout.",Beginner,"Bodyweight, simple movement with low coordination required."
3672,back and forth step,cardio,cardiovascular system,"quadriceps, hamstrings, glutes, calves",body weight,"Stand with your feet shoulder-width apart.
Step forward with your right foot, bending your knee and lowering your body into a lunge position.
Push off with your right foot and step back to the starting position.
Repeat the movement with your left foot, alternating legs with each step.
Continue stepping back and forth, maintaining a steady pace.
Repeat for the desired duration or number of repetitions.",https://v2.exercisedb.io/image/akGmnMj1gqgJU3,None,"This back and forth step works the quadriceps, hamstrings, glutes, and calves while elevating heart rate for cardiovascular conditioning. It also improves lower‑body strength, balance, and coordination. The exercise can be performed anywhere without equipment.",Beginner,"It requires only body weight and simple stepping, making it suitable for beginners."
1314,back extension on exercise ball,back,spine,"glutes, hamstrings",stability ball,"Place the stability ball on the ground and lie face down on top of it, with your hips resting on the ball and your feet against a wall or other stable surface.
Position your hands behind your head or crossed over your chest.
Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line from your head to your heels.
Pause for a moment at the top, then slowly lower your upper body back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/ukCeypFhLV0YC6,None,"The back extension on an exercise ball targets the erector spinae along the spine while engaging the glutes and hamstrings for stability. This movement strengthens the posterior chain, improves posture, and enhances core control.",Beginner,"It uses only bodyweight and a stability ball, requiring minimal coordination and equipment, making it suitable for beginners."
3297,back lever,back,upper back,"biceps, forearms, core",body weight,"Start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart.
Engage your core and pull your shoulder blades down and back.
Bend your knees and tuck them towards your chest.
Slowly lift your legs up, keeping them straight, until your body is parallel to the ground.
Hold this position for a few seconds, then slowly lower your legs back down to the starting position.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/tbNQwmPPyh4Eds,None,"The back lever targets the upper back, latissimus dorsi, and engages the biceps, forearms, and core for stability. It builds isometric strength, improves posture, and enhances overall body control.",Advanced,"It requires significant upper body and core strength, precise coordination, and a high level of body control."
1405,back pec stretch,back,lats,"shoulders, chest",body weight,"Stand tall with your feet shoulder-width apart.
Extend your arms straight out in front of you, parallel to the ground.
Cross your arms in front of your body, with your right arm over your left arm.
Interlock your fingers and rotate your palms away from your body.
Slowly raise your arms up and away from your body, feeling a stretch in your back and chest.
Hold the stretch for 15-30 seconds, then release.
Repeat on the opposite side.",https://v2.exercisedb.io/image/RWvKeWqoM6lpAb,None,"This stretch targets the latissimus dorsi along the sides of the back while also engaging the shoulders and chest to improve upper body flexibility and posture. It helps relieve tension, increase range of motion, and reduce tightness from prolonged sitting or heavy lifting.",Beginner,"It requires only body weight and basic arm movements, making it suitable for all fitness levels."
1473,backward jump,upper legs,quads,"hamstrings, glutes, calves",body weight,"Stand with your feet shoulder-width apart.
Bend your knees slightly and jump backwards, pushing off with both feet.
Land softly on the balls of your feet, bending your knees to absorb the impact.
Repeat for the desired number of repetitions.",https://v2.exercisedb.io/image/HHJUonCfKdoEpz,None,"The backward jump targets the quadriceps while also engaging the hamstrings, glutes, and calves for power and stability. It improves explosive leg strength, enhances posterior chain activation, and boosts dynamic balance during deceleration.",Intermediate,"Bodyweight plyometric movement that requires coordination and explosive power, suitable for those with basic conditioning."
20,balance board,upper legs,quads,"calves, hamstrings, glutes",body weight,"Place the balance board on a flat surface.
Step onto the balance board with one foot, ensuring it is centered.
Slowly shift your weight onto the foot on the balance board, keeping your core engaged.
Maintain your balance and stability as you hold the position for a desired amount of time.
Repeat the exercise with the other foot.",https://v2.exercisedb.io/image/WDnFXk4aWMCJJi,None,"This single‑leg balance board exercise targets the quadriceps while engaging the calves, hamstrings, and glutes for stability. It improves lower‑leg strength, balance, and core control. By maintaining a controlled stance on the board, you also enhance proprioception and joint stability.",Beginner,"It uses only body weight and requires minimal equipment, making it accessible for beginners while still challenging balance."
968,band alternating biceps curl,upper arms,biceps,forearms,band,"Stand with your feet shoulder-width apart and hold the band with an underhand grip, palms facing up.
Keep your elbows close to your sides and slowly curl one arm up towards your shoulder, squeezing your biceps at the top.
Lower the arm back down to the starting position and repeat with the other arm.
Continue alternating arms for the desired number of repetitions.",https://v2.exercisedb.io/image/y5DNwJsa0ZCGV3,None,"This exercise targets the biceps brachii while also engaging the forearm muscles. It builds arm strength, improves muscle endurance, and can be performed anywhere with a resistance band.",Beginner,"It is a simple, single-joint movement using only a resistance band, requiring minimal coordination."
